Ground Truth Program,Extracted Program,Round,# Objects,FTA Construction Time,# Enumerated Programs
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","['IsText', 'IsPrice', 'IsPhoneNumber', 'BelowAge(18)', 'Union[IsText, IsPrice]', 'Union[IsText, IsPhoneNumber]', 'Union[IsText, BelowAge(18)]', 'Union[IsPrice, IsPhoneNumber]', 'Union[IsPrice, BelowAge(18)]', 'Union[IsPhoneNumber, BelowAge(18)]', 'Intersection[IsFace, BelowAge(18)]', 'Intersection[IsText, IsPrice]', 'Intersection[IsText, IsPhoneNumber]', 'Intersection[IsPrice, IsPhoneNumber]', 'Intersection[Smile, EyesOpen]', 'Intersection[Smile, BelowAge(18)]', 'Intersection[EyesOpen, BelowAge(18)]', 'Intersection[MouthOpen, BelowAge(18)]', 'Intersection[IsObject(Person), IsObject(Suit)]', 'Intersection[IsObject(Person), IsObject(Tie)]']",1,7,0.05277835298329592,146
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","['IsPrice', 'IsPhoneNumber', 'BelowAge(18)', 'Union[IsPrice, IsPhoneNumber]', 'Union[IsPrice, BelowAge(18)]', 'Union[IsPhoneNumber, BelowAge(18)]', 'Intersection[IsFace, BelowAge(18)]', 'Intersection[IsText, IsPrice]', 'Intersection[IsText, IsPhoneNumber]', 'Intersection[IsPrice, IsPhoneNumber]', 'Intersection[Smile, BelowAge(18)]', 'Intersection[EyesOpen, BelowAge(18)]', 'Intersection[MouthOpen, BelowAge(18)]', 'Intersection[IsObject(Person), IsObject(Suit)]', 'Intersection[IsObject(Person), IsObject(Tie)]', 'Intersection[IsObject(Suit), IsObject(Tie)]', 'Map(IsText, IsFace, GetLeft)', 'Map(IsText, IsPrice, GetLeft)', 'Map(IsText, IsPhoneNumber, GetLeft)', 'Map(IsText, Smile, GetLeft)']",2,14,0.11242991406470537,303
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","['Map(IsFace, IsObject(Person), GetBelow)', 'Map(Smile, IsObject(Person), GetBelow)', 'Map(EyesOpen, IsObject(Person), GetBelow)', 'Map(MouthOpen, IsObject(Person), GetBelow)', 'Map(IsObject(Necklace), IsObject(Person), GetIsContained)', 'Map(IsObject(Necklace), IsObject(Person), GetPrev)', 'Map(GetFace(7), IsObject(Person), GetBelow)', 'Map(GetFace(8), IsObject(Person), GetIsContained)', 'Map(GetFace(7), IsObject(Person), GetNext)', 'Map(GetFace(8), IsObject(Person), GetPrev)', 'Map(Complement(IsObject(Person)), IsObject(Person), GetBelow)', 'Map(Union[IsFace, IsText], IsObject(Person), GetBelow)', 'Map(Union[IsFace, Smile], IsObject(Person), GetBelow)', 'Map(Union[IsFace, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[IsFace, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen], IsObject(Person), GetBelow)']",3,19,0.7713401390938088,3126
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","['Map(Smile, IsObject(Person), GetBelow)', 'Map(EyesOpen, IsObject(Person), GetBelow)', 'Map(MouthOpen, IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Intersection[IsFace, Smile], IsObject(Person), GetBelow)', 'Map(Intersection[IsFace, EyesOpen], IsObject(Person), GetBelow)', 'Map(Intersection[IsFace, MouthOpen], IsObject(Person), GetBelow)', 'Map(Intersection[Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Intersection[Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Intersection[EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, IsObject(Chair)], IsObject(Person), GetBelow)', 'Map(Union[Smile, IsObject(Necklace)], IsObject(Person), GetBelow)']",4,54,4.260789085063152,10117
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","['Map(EyesOpen, IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Intersection[IsFace, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Chair)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Necklace)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Shoe)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Suit)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Tie)], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)']",5,90,10.703359641949646,25480
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","['Map(EyesOpen, IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Intersection[IsFace, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Chair)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Necklace)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Shoe)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Suit)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Tie)], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)']",6,104,12.755074194050394,26385
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","['Map(EyesOpen, IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Intersection[IsFace, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Chair)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Necklace)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Shoe)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, IsObject(Tie)], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MatchesWord(erie)], IsObject(Person), GetBelow)']",7,129,34.38127685303334,57900
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","['Map(Union[Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, GetFace(48)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Chair)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Necklace)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Shoe)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Skirt)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Tie)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, IsObject(Chair)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, IsObject(Necklace)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, IsObject(Shoe)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, IsObject(Skirt)], IsObject(Person), GetBelow)']",8,149,50.29426639992744,82206
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","['Map(Union[Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, EyesOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, Smile, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[IsText, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, MouthOpen], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[EyesOpen, MouthOpen, BelowAge(18)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Chair)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Necklace)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Shoe)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Skirt)], IsObject(Person), GetBelow)', 'Map(Union[Smile, EyesOpen, IsObject(Tie)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, IsObject(Chair)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, IsObject(Necklace)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, IsObject(Shoe)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, IsObject(Skirt)], IsObject(Person), GetBelow)', 'Map(Union[Smile, MouthOpen, IsObject(Tie)], IsObject(Person), GetBelow)']",9,165,56.068786897929385,86313
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(IsFace, IsFace, GetAbove)', 'Map(Smile, IsFace, GetAbove)', 'Map(EyesOpen, IsFace, GetAbove)', 'Map(MouthOpen, IsFace, GetAbove)', 'Map(BelowAge(18), IsFace, GetAbove)', 'Map(BelowAge(18), IsFace, GetPrev)', 'Map(IsFace, GetFace(48), GetAbove)', 'Map(Smile, GetFace(48), GetAbove)', 'Map(EyesOpen, GetFace(48), GetAbove)', 'Map(MouthOpen, GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetAbove)', 'Map(IsFace, GetFace(48), GetPrev)', 'Map(Smile, GetFace(48), GetPrev)', 'Map(EyesOpen, GetFace(48), GetPrev)', 'Map(MouthOpen, GetFace(48), GetPrev)', 'Map(BelowAge(18), GetFace(48), GetPrev)', 'Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(Smile)]']",1,28,0.35629931709263474,1775
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(BelowAge(18), IsFace, GetAbove)', 'Map(BelowAge(18), IsFace, GetPrev)', 'Map(IsFace, GetFace(48), GetAbove)', 'Map(Smile, GetFace(48), GetAbove)', 'Map(EyesOpen, GetFace(48), GetAbove)', 'Map(MouthOpen, GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetAbove)', 'Map(IsFace, GetFace(48), GetPrev)', 'Map(Smile, GetFace(48), GetPrev)', 'Map(EyesOpen, GetFace(48), GetPrev)', 'Map(MouthOpen, GetFace(48), GetPrev)', 'Map(BelowAge(18), GetFace(48), GetPrev)', 'Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(Smile)]', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Person), GetFace(48), GetPrev)', 'Map(IsObject(Tie), GetFace(48), GetPrev)']",2,59,0.5468989301007241,2372
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(IsFace, GetFace(48), GetAbove)', 'Map(Smile, GetFace(48), GetAbove)', 'Map(EyesOpen, GetFace(48), GetAbove)', 'Map(MouthOpen, GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetPrev)', 'Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Tie), GetFace(48), GetPrev)', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)']",3,73,3.1855541670229286,6203
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(EyesOpen, GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetPrev)', 'Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Tie), GetFace(48), GetPrev)', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetPrev)', 'Complement(Union[EyesOpen, MouthOpen, Complement(IsFace)])', 'Intersection[IsFace, Complement(Union[EyesOpen, MouthOpen])]']",4,92,5.675356330000795,11491
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(BelowAge(18), GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetPrev)', 'Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Tie), GetFace(48), GetPrev)', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetPrev)', 'Complement(Union[EyesOpen, MouthOpen, Complement(IsFace)])', 'Intersection[IsFace, Complement(Union[EyesOpen, MouthOpen])]', 'Complement(Union[EyesOpen, Complement(GetFace(48))])']",5,108,6.988224186003208,15297
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(BelowAge(18), GetFace(48), GetPrev)', 'Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Tie), GetFace(48), GetPrev)', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetPrev)', 'Complement(Union[EyesOpen, MouthOpen, Complement(IsFace)])', 'Intersection[IsFace, Complement(Union[EyesOpen, MouthOpen])]', 'Complement(Union[EyesOpen, Complement(GetFace(48))])', 'Complement(Union[MouthOpen, Complement(GetFace(48))])']",6,120,8.111135932034813,16511
